consensus_address	moniker	identity_key	voting_power	plan
3969C0511C6ABE474757FEAB7C1B4004796D7E72	iqlusion	penumbravalid17fu2emv7tkqeyfsnk0zghfp93fwmz2454nmlyf9ra4x4jexuwq8svnpwup	2129420642518	REMOVE-offline
5C59AA336C39C7F7F5297D706C3E0D95FB92035B	rotko.net	penumbravalid1ar6hyxmvy0em86nclqgxc4qlauj9ct747g4dsx8tn6wthg9nuvrq099640	1308301229577	KEEP
9B2D4391131198750FF28EE73EC953ECFCFD06EF	polkachu.com	penumbravalid15fj2zfmhpmp43rq53ceru5xn2h5czzn3glzh4p27emg22pe8ayqsfqkzkp	1051650705916	REMOVE-offline
3336C9D1DE4F54D46863F5215FE39C1235F44F15	antumbra.net	penumbravalid1ktcv24rwkp69mc6hf5g7kwpwrevy6mrzdsg07nq3za6z4fp72cyqf4aw3d	525123548216	KEEP
1ECB88CA8087DE94938E03E6DC2DB4BC0676415D	ghostinnet	penumbravalid10n2srs5257a6nxq9x3fhcsqyc0wh8q2lp7f80qd7wlmzdm6znypse23mmh	347499826148	KEEP
1ADAD17EB8D7B116CDF5B01C10591577E7D80A7B	CryptoCrew	penumbravalid1rp3ensht938kegyckygsnu7pjvzj3vvcxys842jywzct7t3nfupslhnpy4	284505357212	uncommitted
A61E5C703321C9574DE828CE1CA3479B8D9B3906	Bryanlabs	penumbravalid19qcxdmkpry2zda9htt2wprpk32yc9nwjgmc0xvqwm8qz5afk6upsmg55hh	264461308176	KEEP
D3F4237B600F15F33AD8E5A325A3046C18AAE01F	Tessellated	penumbravalid1mr4j6nh3za3wjptjr2uj2ssr3fg0gxxqgqg9vgjl7luqa3qur5zs3fj5w6	258961548947	uncommitted
82284020FCF5C5F901ACFF583707D574EAE9D953	silent	penumbravalid19jqf35xytm4ht9f8awtad9wxmfky0tjygug8390cewyqjwmyucqqkkrc9r	257390691263	uncommitted
8771FF673B9C8C647DA322C50513605D7B1174AB	Architect Nodes	penumbravalid13mln7am4lrsrdmd63h9ap7y6pt6r6z3wgvtr50yk7yhvg5stgyfqema8hg	238298218658	uncommitted
A7B4C6E05E7548482D9ADC2F213B392993458CC0	MathNodes	penumbravalid1jf8tmgqaar2xdrhspmmuwyd6jt6hedjh0gz32pz4vwrmh93tvsyswth2sf	128462136206	uncommitted
0F596607296F3B6F0BA520ADBD1A728C08987D9A	Pro-Delegators	penumbravalid142hfnl60upz57zgzmdsetsh7ltfynzjh7vf20haak8jnrpdfagps8erges	83864255912	uncommitted
969A99DB1320F085E9837E5908FFF75FD4FD5D2B	AM Solutions	penumbravalid1z6nw9ute35ajjpvq5yqhspvvvp5ephyd8v5c9wk7hs2zz465esrq56r40w	62942815025	uncommitted
E99FBEFE3ED03F3FBF6F51645FF473137354FE90	OriginStake	penumbravalid1he9sez9r2yzc8dekh5w7vqqz6r5c557s8jjchmu3879e9lzn4g9q57k04c	49812918267	uncommitted
367ADC32C6A0ACFB08DF2F84039EC6DF8245BCFC	Validatus	penumbravalid1q2eu6p33ne58aq0xh2ramsftmxqtqzlzwpa6uy8tgygje39mzypsq6nuyw	49737840579	uncommitted
A9455810FFFD0E14A31C9B8850883FE05CEF922F	PathrockNetwork	penumbravalid1gq4j0hh6grl6d7apwg8z5qj97q7uhkeq0tp9qr66xe03cyrjkyrskp7s6v	49087985645	uncommitted
